"ID","NAME","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
21627,"OAKLAND/METRO",-122.22,37.73,3,9.2,11.1,12,13.4,15,16.6,17.4,17.8,18.3,16.4,12.8,9.7
21629,"RED BLUFF/MUN",-122.25,40.15,108,7.6,10.3,12,15.2,19.8,24.4,27.8,26.5,24,18.4,11.6,7.9
21630,"NAPA STATE HOSPITAL",-122.27,38.28,10,8.2,10.4,11.5,13.2,15.8,18.6,19.8,19.8,18.8,16.4,11.6,8.5
21632,"BERKELEY",-122.27,37.87,91,9.7,11.3,11.9,12.9,14.6,16.1,16.6,16.9,17.4,16.2,13,10.1
21635,"WILLOWS 6W",-122.3,39.52,71,7.2,9.8,11.3,14.2,18.4,22,24.4,23.5,22.2,17.6,11.3,7.5
21636,"REDDING WSO",-122.3,40.5,153,7.3,9.8,11.7,14.9,19.6,24.1,27.6,26.4,23.5,18,11.2,7.7
21638,"MOUNT SHASTA",-122.32,41.32,1094,1,3,4.4,7.3,11.4,14.7,18.5,17.7,14.9,9.9,4,1.6
21642,"SAN FRANCISCO",-122.38,37.62,5,9.5,11.1,11.9,13.2,14.7,16.3,17,17.5,17.8,16.1,12.8,9.8
21643,"SAN FRANCISCO/MISSION DOLORES",-122.43,37.77,22,10.8,12.4,12.8,13.5,14.2,15.2,15.4,16,17.2,16.7,14.1,11.2
21646,"HAMILTON/AFB",-122.52,38.07,4,7.8,10,11,12.8,15,17.4,18.2,18.4,18.2,15.7,11.6,8.4
21651,"YREKA",-122.63,41.72,800,1.7,4.1,6.5,9.5,13.7,17.7,21.8,21.2,17.2,11.2,5.1,1.8
21652,"PETALUMA FIRE STN #2",-122.65,38.27,9,8.7,10.7,10.8,12.4,14.6,17,18.6,18.7,19,16.3,11.9,8.9
21655,"SANTA ROSA",-122.7,38.45,50,8.2,10.4,10.8,12.6,15,17.3,18.4,18.6,18.3,15.7,11.1,8.5
21662,"HEALDSBURG",-122.87,38.62,32,8.5,10.8,11.7,13.7,16.8,19,20.3,20.1,19.6,16.5,11.6,8.7
21666,"WEAVERVILLE RS",-122.93,40.73,624,2.9,5.5,7.1,10,14.3,18.2,21.8,21.2,17.9,12.5,6.8,3.2
21674,"UKIAH",-123.2,39.15,192,7.5,9.5,10.5,12.5,15.8,19,22.2,21.8,19.9,15.6,10.2,7.7
21680,"HAPPY CAMP RS",-123.37,41.8,341,4.1,6.7,8.4,11.3,15.2,18.6,22.4,21.7,19,13.5,7.8,4.6
21682,"ORLEANS",-123.53,41.3,124,5.9,8.3,10.4,12.8,16.1,19.2,22.6,22.3,19.9,14.7,9.2,6
21684,"FORT BRAGG 5N",-123.78,39.5,36,7.7,8.3,9.3,10,11.4,13.5,14.1,14.4,13.6,12.3,10.3,7.9
21691,"EUREKA, CA.",-124.17,40.8,18,8.9,9.5,9.5,10.2,11.7,13.1,13.8,14.4,14,12.6,10.8,9.1
24522,"BEAUMONT",-117,33.9,792,9.3,10.4,11.2,13.4,16.8,20.8,25.1,24.9,22.6,18.3,13.2,10.3
24524,"ESCONDIDO",-117.1,33.1,200,11.1,12.1,13.1,15,17.3,19.9,22.9,23.3,21.8,18.3,14.4,11.6
24526,"SAN BERNARDINO",-117.3,34.1,357,11.5,13,13.7,16,18.7,22.3,26.2,26,24.1,19.8,15,12.1
